product_id,product_name,category_id,brand_id,supplier_id,warehouse_id,sku,unit_price,cost_price,stock_quantity,reorder_level,weight_kg,is_active
PROD000001,iPhone 16,CAT001,BR001,SUP001,WH001,APP-00001,1168.43,787.91,60,34,2.99,True
PROD000002,iPhone 16 Pro,CAT001,BR001,SUP001,WH001,APP-00002,628.75,419.95,51,20,1.01,True
PROD000003,MacBook Air,CAT001,BR001,SUP001,WH001,APP-00003,2198.58,1681.8,63,17,5.78,True
PROD000004,MacBook Pro,CAT001,BR001,SUP001,WH001,APP-00004,519.08,349.86,125,22,1.83,True
PROD000005,Apple Watch Series 11,CAT001,BR001,SUP001,WH001,APP-00005,1687.26,1132.76,56,38,1.21,True
PROD000006,AirPods Pro,CAT001,BR001,SUP001,WH001,APP-00006,2266.55,1560.14,148,34,2.0,True
PROD000007,iPad Air,CAT001,BR001,SUP001,WH001,APP-00007,2010.19,1324.2,286,37,7.0,True
PROD000008,Galaxy S25,CAT001,BR002,SUP002,WH005,SAM-00008,1224.0,824.0,57,39,6.16,True
PROD000009,Galaxy S25 Ultra,CAT001,BR002,SUP002,WH005,SAM-00009,867.21,646.76,67,32,3.33,True
PROD000010,Galaxy Watch,CAT001,BR002,SUP002,WH005,SAM-00010,2491.28,1667.88,274,30,6.09,True
PROD000011,Galaxy Buds,CAT001,BR002,SUP002,WH005,SAM-00011,381.82,299.75,158,19,5.05,True
PROD000012,Galaxy Tab,CAT001,BR002,SUP002,WH005,SAM-00012,1321.99,995.17,109,40,6.79,True
PROD000013,WH-1000XM6 Headphones,CAT001,BR003,SUP003,WH005,SON-00013,322.19,234.6,27,10,5.47,True
PROD000014,PlayStation 6 Controller,CAT001,BR003,SUP003,WH005,SON-00014,1795.89,1400.7,59,14,6.25,True
PROD000015,Bravia OLED TV,CAT001,BR003,SUP003,WH005,SON-00015,1378.76,1009.14,234,23,1.83,True
PROD000016,Sony Soundbar,CAT001,BR003,SUP003,WH005,SON-00016,1507.68,1054.43,105,34,4.33,True
PROD000017,XPS 13,CAT001,BR004,SUP003,WH002,DEL-00017,2477.98,1804.61,34,35,5.32,True
PROD000018,Inspiron 15,CAT001,BR004,SUP003,WH002,DEL-00018,576.71,437.46,288,15,3.08,True
PROD000019,Alienware Laptop,CAT001,BR004,SUP003,WH002,DEL-00019,1560.01,1157.56,59,29,7.43,True
PROD000020,Dell Monitor,CAT001,BR004,SUP003,WH002,DEL-00020,1988.14,1584.49,54,23,6.65,True
PROD000021,Air Max Shoes,CAT002,BR005,SUP004,WH005,NIK-00021,95.87,57.3,303,27,0.52,True
PROD000022,Running Shorts,CAT002,BR005,SUP004,WH005,NIK-00022,164.11,108.43,354,20,0.49,True
PROD000023,Sports Jacket,CAT002,BR005,SUP004,WH005,NIK-00023,88.02,50.39,132,56,1.73,True
PROD000024,Training T-Shirt,CAT002,BR005,SUP004,WH005,NIK-00024,182.14,88.7,211,67,1.49,True
PROD000025,Ultraboost Shoes,CAT002,BR006,SUP005,WH001,ADI-00025,175.28,119.36,494,45,1.84,True
PROD000026,Football Jersey,CAT002,BR006,SUP005,WH001,ADI-00026,141.78,95.73,350,48,0.95,True
PROD000027,Track Pants,CAT002,BR006,SUP005,WH001,ADI-00027,66.93,40.33,318,48,1.15,True
PROD000028,Running Shoes,CAT002,BR007,SUP005,WH002,PUM-00028,198.81,122.97,207,32,1.73,True
PROD000029,Gym Hoodie,CAT002,BR007,SUP005,WH002,PUM-00029,178.21,80.58,468,44,1.23,True
PROD000030,Sports Cap,CAT002,BR007,SUP005,WH002,PUM-00030,70.25,34.0,350,23,1.75,True
PROD000031,Office Chair,CAT003,BR008,SUP006,WH001,IKE-00031,1457.86,817.58,102,21,36.92,True
PROD000032,Dining Table,CAT003,BR008,SUP006,WH001,IKE-00032,451.63,263.14,78,7,8.63,True
PROD000033,Bookshelf,CAT003,BR008,SUP006,WH001,IKE-00033,195.7,141.85,64,14,5.3,True
PROD000034,Wardrobe,CAT003,BR008,SUP006,WH001,IKE-00034,901.37,589.06,25,8,25.27,True
PROD000035,Sofa,CAT003,BR009,SUP006,WH003,HOM-00035,584.96,381.69,91,23,18.61,True
PROD000036,Coffee Table,CAT003,BR009,SUP006,WH003,HOM-00036,1047.14,735.43,141,10,6.78,True
PROD000037,Bed Frame,CAT003,BR009,SUP006,WH003,HOM-00037,118.2,72.23,150,14,24.89,True
